Time(s),Force_mag (N),Angle,
5.38631,1.22003,1.35084,
5.3946,1.22003,1.35084,
5.40298,1.22003,1.35084,
5.41127,1.22003,1.35084,
5.41965,1.22003,1.35084,
5.42798,1.22003,1.35084,
5.43632,1.22003,1.35084,
5.44465,1.22003,1.35084,
5.45299,1.22003,1.35084,
5.46128,1.22003,1.35084,
5.46966,1.22003,1.35084,
5.47799,1.22003,1.35084,
5.48632,1.22003,1.35084,
5.49466,1.22003,1.35084,
5.50299,1.22003,1.35084,
5.51133,1.22003,1.35084,
5.51962,1.22003,1.35084,
5.528,1.22003,1.35084,
5.53634,1.22003,1.35084,
5.54463,1.22003,1.35084,
5.55301,1.22003,1.35084,
5.56134,1.22003,1.35084,
5.56967,1.22003,1.35084,
5.578,1.22003,1.35084,
5.58634,1.22003,1.35084,
5.59468,1.22003,1.35084,
5.603,1.22003,1.35084,
5.61135,1.22003,1.35084,
5.61968,1.22003,1.35084,
5.62802,1.22003,1.35084,
5.63635,1.22003,1.35084,
5.64469,1.22003,1.35084,
5.65302,1.22003,1.35084,
5.66134,1.22003,1.35084,
5.66969,1.22003,1.35084,
5.67798,1.22003,1.35084,
5.68636,1.22003,1.35084,
5.69465,1.22003,1.35084,
5.70298,1.22003,1.35084,
5.7113,1.22003,1.35084,
5.71964,1.22003,1.35084,
5.72799,1.22003,1.35084,
5.73632,1.22003,1.35084,
5.74465,1.22003,1.35084,
5.75299,1.22003,1.35084,
5.76132,1.22003,1.35084,
5.76972,1.22003,1.35084,
5.77798,1.22003,1.35084,
5.78631,1.22003,1.35084,
5.79465,1.22003,1.35084,
5.80298,1.22003,1.35084,
5.81133,1.22003,1.35084,
5.81969,1.22003,1.35084,
5.82799,1.22003,1.35084,
5.83636,1.22003,1.35084,
5.84465,1.22003,1.35084,
5.85304,1.22003,1.35084,
5.86137,1.22003,1.35084,
5.86976,1.22003,1.35084,
5.8781,1.22003,1.35084,
5.88645,1.22003,1.35084,
5.89472,1.22003,1.35084,
5.90306,1.22003,1.35084,
5.91139,1.22003,1.35084,
5.91976,1.22003,1.35084,
5.92811,1.22003,1.35084,
5.93645,1.22003,1.35084,
5.94472,1.22003,1.35084,
5.9531,1.22003,1.35084,
5.96145,1.22003,1.35084,
5.96978,1.22003,1.35084,
5.9781,1.22003,1.35084,
5.98644,1.22003,1.35084,
5.99476,1.22003,1.35084,
6.00308,1.22003,1.35084,
6.01141,1.22003,1.35084,
6.01974,1.22003,1.35084,
6.02813,1.22003,1.35084,
6.03646,1.22003,1.35084,
6.04474,1.22003,1.35084,
6.05312,1.22003,1.35084,
6.06141,1.22003,1.35084,
6.06979,1.22003,1.35084,
6.07812,1.22003,1.35084,
6.08647,1.22003,1.35084,
6.09479,1.22003,1.35084,
6.10313,1.22003,1.35084,
6.11149,1.22003,1.35084,
6.1198,1.22003,1.35084,
6.12813,1.22003,1.35084,
6.13649,1.22003,1.35084,
6.1448,1.22003,1.35084,
6.15314,1.22003,1.35084,
6.16149,1.22003,1.35084,
6.16981,1.22003,1.35084,
6.17815,1.22003,1.35084,
6.18651,1.22003,1.35084,
6.19479,1.22003,1.35084,
6.20311,1.22003,1.35084,
6.21149,1.22003,1.35084,
6.21981,1.22003,1.35084,
6.22815,1.22003,1.35084,
6.23649,1.22003,1.35084,
6.24482,1.22003,1.35084,
6.25314,1.22003,1.35084,
6.2615,1.22003,1.35084,
6.26982,1.22003,1.35084,
6.27815,1.22003,1.35084,
6.2865,1.22003,1.35084,
6.29478,1.22003,1.35084,
6.30316,1.22003,1.35084,
6.31146,1.22003,1.35084,
6.31982,1.22003,1.35084,
6.32815,1.22003,1.35084,
6.33653,1.22003,1.35084,
6.34484,1.22003,1.35084,
6.35316,1.22003,1.35084,
6.36148,1.22003,1.35084,
6.36982,1.22003,1.35084,
6.37817,1.22003,1.35084,
6.38652,1.22003,1.35084,
6.39485,1.22003,1.35084,
6.40317,1.22003,1.35084,
6.41149,1.22003,1.35084,
6.41984,1.22003,1.35084,
6.42818,1.22003,1.35084,
6.43653,1.22003,1.35084,
6.44485,1.22003,1.35084,
6.45317,1.22003,1.35084,
6.46156,1.22003,1.35084,
6.46985,1.22003,1.35084,
6.47817,1.22003,1.35084,
6.48654,1.22003,1.35084,
6.49484,1.22003,1.35084,
6.50315,1.22003,1.35084,
6.51148,1.22003,1.35084,
6.51986,1.22003,1.35084,
6.52815,1.22003,1.35084,
6.53653,1.22003,1.35084,
6.54482,1.22003,1.35084,
6.55319,1.22003,1.35084,
6.56154,1.22003,1.35084,
6.56986,1.22003,1.35084,
6.57819,1.22003,1.35084,
6.58653,1.22003,1.35084,
6.59487,1.22003,1.35084,
6.60319,1.22003,1.35084,
6.6115,1.22003,1.35084,
6.61983,1.22003,1.35084,
6.62816,1.22003,1.35084,
6.63657,1.22003,1.35084,
6.64487,1.22003,1.35084,
6.65319,1.22003,1.35084,
6.6615,1.22003,1.35084,
6.66984,1.22003,1.35084,
6.6782,1.22003,1.35084,
6.68655,1.22003,1.35084,
6.69488,1.22003,1.35084,
6.70317,1.22003,1.35084,
6.71152,1.22003,1.35084,
6.71985,1.22003,1.35084,
6.72817,1.22003,1.35084,
6.73656,1.22003,1.35084,
6.74488,1.22003,1.35084,
6.75321,1.22003,1.35084,
6.76156,1.22003,1.35084,
6.7699,1.22003,1.35084,
6.77819,1.22003,1.35084,
6.78653,1.22003,1.35084,
6.79487,1.22003,1.35084,
6.80319,1.22003,1.35084,
6.81153,1.22003,1.35084,
6.81987,1.22003,1.35084,
6.8282,1.22003,1.35084,
6.83654,1.22003,1.35084,
6.84486,1.22003,1.35084,
6.8532,1.22003,1.35084,
6.86153,1.22003,1.35084,
6.86986,1.22003,1.35084,
6.8782,1.22003,1.35084,
6.88653,1.22003,1.35084,
6.89487,1.22003,1.35084,
6.90321,1.22003,1.35084,
6.91154,1.22003,1.35084,
6.91992,1.22003,1.35084,
6.92824,1.22003,1.35084,
6.93659,1.22003,1.35084,
6.94492,1.22003,1.35084,
6.95325,1.22003,1.35084,
6.96159,1.22003,1.35084,
6.96987,1.22003,1.35084,
6.97817,1.22003,1.35084,
6.98659,1.22003,1.35084,
6.99493,1.22003,1.35084,
7.00327,1.22003,1.35084,
7.0116,1.22003,1.35084,
7.01989,1.22003,1.35084,
7.02826,1.22003,1.35084,
7.03659,1.22003,1.35084,
7.04493,1.22003,1.35084,
7.05327,1.22003,1.35084,
7.06164,1.22003,1.35084,
7.06993,1.22003,1.35084,
7.07823,1.22003,1.35084,
7.08661,1.22003,1.35084,
7.09489,1.22003,1.35084,
7.10324,1.22003,1.35084,
7.11156,1.22003,1.35084,
7.11991,1.22003,1.35084,
7.12824,1.22003,1.35084,
7.13657,1.22003,1.35084,
7.14491,1.22003,1.35084,
